Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Kevin Na (22017928),Kevin Na,22017928,WG,6500,Masters Tournament,Golf,58.17
G,Francesco Molinari (22017929),Francesco Molinari,22017929,WG,6500,Masters Tournament,Golf,57.44
G,Stewart Cink (22017930),Stewart Cink,22017930,WG,6400,Masters Tournament,Golf,54.36
G,Keita Nakajima (22017931),Keita Nakajima,22017931,WG,6400,Masters Tournament,Golf,66.25
G,Kyoung-Hoon Lee (22017932),Kyoung-Hoon Lee,22017932,WG,6400,Masters Tournament,Golf,67.23
G,Hudson Swafford (22017933),Hudson Swafford,22017933,WG,6400,Masters Tournament,Golf,59.66
G,Padraig Harrington (22017934),Padraig Harrington,22017934,WG,6400,Masters Tournament,Golf,61
G,Fred Couples (22017935),Fred Couples,22017935,WG,6400,Masters Tournament,Golf,0
G,Harry Higgs (22017936),Harry Higgs,22017936,WG,6300,Masters Tournament,Golf,49.63
G,Charl Schwartzel (22017937),Charl Schwartzel,22017937,WG,6300,Masters Tournament,Golf,39.68
G,Mike Weir (22017938),Mike Weir,22017938,WG,6300,Masters Tournament,Golf,49
G,Takumi Kanaya (22017939),Takumi Kanaya,22017939,WG,6300,Masters Tournament,Golf,42.83
G,Bernhard Langer (22017940),Bernhard Langer,22017940,WG,6200,Masters Tournament,Golf,75.4
G,Guido Migliozzi (22017941),Guido Migliozzi,22017941,WG,6200,Masters Tournament,Golf,35
G,Vijay Singh (22017942),Vijay Singh,22017942,WG,6200,Masters Tournament,Golf,59
G,Austin Greaser (22017943),Austin Greaser,22017943,WG,6100,Masters Tournament,Golf,0
G,James Piot (22017944),James Piot,22017944,WG,6100,Masters Tournament,Golf,14
G,Larry Mize (22017945),Larry Mize,22017945,WG,6100,Masters Tournament,Golf,38.5
G,Jose Maria Olazabal (22017946),Jose Maria Olazabal,22017946,WG,6100,Masters Tournament,Golf,43.25
G,Stewart Hagestad (22017947),Stewart Hagestad,22017947,WG,6000,Masters Tournament,Golf,0
G,Aaron Jarvis (22017948),Aaron Jarvis,22017948,WG,6000,Masters Tournament,Golf,0
G,Sandy Lyle (22017949),Sandy Lyle,22017949,WG,6000,Masters Tournament,Golf,34.33
G,Laird Shepherd (22017950),Laird Shepherd,22017950,WG,6000,Masters Tournament,Golf,0
