"","rfpreds$predictions"
"Bruce Fleisher",74.1919333333334
"Steve Flesch",80.9832666666667
"Raymond Floyd",87.9347666666667
"Doug Ford",84.4994666666666
"Dan Forsman",115.749766666667
"John Fought",87.3074666666667
"Rickie Fowler",61.2845666666667
"Ryan Fox",59.1786666666666
"Carlos Franco",86.8626333333334
"Harrison Frazar",82.7959
"Robin Freeman",86.5280666666667
"Dylan Frittelli",57.1153333333333
"David Frost",90.1859
"Hiroyuki Fujita",66.9183
"Fred Funk",78.3618666666667
"Jim Furyk",54.1014666666667
"Tommy Gainey",83.0092666666666
"Stephen Gallacher",83.2377666666667
"Jim Gallagher, Jr.",101.970333333333
"Robert Gamez",113.9517
"Sergio Garcia",46.8761333333333
"Buddy Gardner",87.8875
"Brice Garnett",59.6198333333333
"Robert Garrigus",68.8681
"Brian Gay",84.3063333333333
"Al Geiberger",91.4925666666667
"Brent Geiberger",92.6213666666666
"Michael Gellerman",76.3932666666667
"Doug Ghim",47.5886
"Kelly Gibson",91.7895
"Rhein Gibson",69.6637666666666
"Gibby Gilbert",81.4890333333333
"Bob Gilder",84.3208666666667
"Bill Glasson",100.839766666667
"Michael Gligic",82.7246
"Lucas Glover",52.0380666666667
"Randy Glover",73.4519666666667
"Bob Goalby",77.461
"Matt Gogel",95.2939666666667
"Ernie Gonzalez",94.0584333333334
"Talor Gooch",43.0158333333333
"Retief Goosen",64.5717666666667
"William Gordon",57.4591666666667
"Jason Gore",85.2749333333333
"David Gossett",87.2658333333333
"Paul Goydos",78.3612
"Branden Grace",49.8823
"David Graham",92.5295666666667
"Hubert Green",85.3744666666667
"Ken Green",92.9169333333333
"Nathan Green",95.7298666666666
"Cody Gribble",60.4216333333333
"Lanto Griffin",40.5975666666666
"Emiliano Grillo",43.0397666666667
"Mike Grob",106.948433333333
"Gary Groh",84.2514666666667
"Scott Gump",93.2551333333333
"Fabián Gómez",67.9394666666666
"Bill Haas",61.7851666666667
"Jay Haas",36.7733
"Chesson Hadley",73.9713333333333
"Adam Hadwin",48.1954333333333
"Brandon Hagy",62.5686
"James Hahn",46.4464333333333
"Gary Hallberg",92.1294666666667
"Todd Hamilton",85.6630666666666
"Laurie Hammer",84.3568
"Donnie Hammond",72.5939
"Steve Han",55.5158
"Phillip Hancock",81.7931
"Anders Hansen",66.7109333333334
"Peter Hanson",87.3132666666667
"Justin Harding",55.0862
"Brian Harman",54.7366666666667
"Padraig Harrington",55.9345666666667
"Scott Harrington",69.7991666666667
"Labron Harris",93.4498
"Dudley Hart",69.8587999999999
"Morris Hatalsky",78.7944333333333
"Tyrrell Hatton",46.6236666666667
"J.P. Hayes",74.6746666666667
"Jerry Heard",63.1548666666667
"David Hearn",68.7517
"Mike Heinen",87.7703333333334
"Nolan Henke",95.0885333333333
"Russell Henley",64.8456
"Brian Henninger",89.0607
"J.J. Henry",84.8594333333333
"Mark Hensby",72.7166
"Jim Herman",59.358
"Tim Herron",83.4294666666668
"Kramer Hickok",58.8760666666667
"Harry Higgs",59.8902
"Lon Hinkle",78.6709666666666
"Larry Hinson",87.6362333333334
"Babe Hiskey",65.0231
