"","x"
"Billy Hurley III",79.5111349222509
"Yuta Ikeda",82.7201169210855
"Mikko Ilonen",72.0325479202903
"Sungjae Im",33.7601823587007
"Ryuji Imada",121.862276206947
"Shugo Imahira",63.3692496456702
"Trevor Immelman",67.8816991975477
"Peter Jacobsen",95.7713851712197
"Freddie Jacobson",78.0449200334542
"Barry Jaeckel",122.511084001047
"Jazz Janewattananond",58.8893290133714
"Lee Janzen",97.7362094252604
"Yeon Jin Jeong",118.195405528278
"Brandt Jobe",96.6229642547179
"Dustin Johnson",32.8799123990372
"Richard Johnson",87.6466636983513
"Zach Johnson",50.232308452055
"Brendan Jones",115.743689240473
"Kent Jones",86.9956232506444
"Matt Jones",38.5843746183563
"Sung Kang",92.236915400796
"Smylie Kaufman",90.3322696053472
"Jonathan Kaye",79.357947008686
"Martin Kaymer",69.7531301561457
"Jerry Kelly",76.189590800533
"Troy Kelly",103.512254321718
"Skip Kendall",105.845294196092
"Anthony Kim",131.093038830558
"Chan Kim",45.3760779065377
"Hyung-Sung Kim",104.337030151047
"K.T. Kim",75.2708220679345
"Michael Kim",74.1525695494176
"Si Woo Kim",50.8407033053193
"Chris Kirk",43.2408216574919
"Kevin Kisner",53.1573936805727
"Patton Kizzire",49.7401865515859
"Søren Kjeldsen",68.8248640905344
"Colt Knost",83.0970575467497
"Jim Knous",87.1808023265551
"Russell Knox",57.4963167324047
"Satoshi Kodaira",57.6726868448103
"Brooks Koepka",43.3710110158478
"Jason Kokrak",31.642819346826
"Kelly Kraft",67.0038473358651
"Matt Kuchar",61.3133591301026
"Hank Kuehne",117.260661560208
"Anirban Lahiri",66.5264583917745
"Martin Laird",54.2813779108225
"Derek Lamely",98.326590478441
"Neal Lancaster",93.6502855316562
"Andrew Landry",71.8562904387156
"Bernhard Langer",58.0702308029747
"Pablo Larrazabal",86.2386818592018
"Nate Lashley",69.8421699823054
"Hank Lebioda",63.5844228436569
"Nelson Ledesma",60.1508085142169
"Danny Lee",64.6229263235147
"Kyoung-Hoon Lee",57.3560146230041
"Lucas Lee",86.7873604925458
"Tom Lehman",79.5519247402512
"Marc Leishman",46.1611288099565
"Justin Leonard",106.447793505709
"Alexander Levy",67.1515988336329
"Tom Lewis",56.0553613867682
"Haotong Li",48.123527888675
"Frank Lickliter II",81.8173129059606
"Nicholas Lindheim",69.4713013018951
"David Lingmerth",71.2394574174327
"Luke List",49.9560177562424
"Peter Lonard",107.284871991156
"Adam Long",65.0223194654161
"Davis Love III",87.8000539263261
"Jamie Lovemark",80.3536278093991
"Shane Lowry",39.4630998989687
"Joost Luiten",57.5731109325648
"Bill Lunde",83.5087771249222
"Sandy Lyle",89.9850986152695
"David Lynn",105.067303126347
"Will MacKenzie",87.2209829820042
"Jeff Maggert",111.142231764901
"Hunter Mahan",86.111306039667
"Peter Malnati",69.780068008364
"Matteo Manassero",86.0843907658422
"Ben Martin",66.9823031980206
"Hideki Matsuyama",46.5850234827626
"Troy Matteson",91.316910776403
"Len Mattiace",88.1650579350465
"Billy Mayfair",82.2364773448546
"Scott McCarron",95.4048598261982
"Denny McCarthy",49.9687421969283
"Tyler McCumber",56.2298683643443
"Graeme McDowell",70.4787016469889
"William McGirt",86.2219356889217
"Rory McIlroy",48.0029852764495
"Parker McLachlin",92.6013007507996
"Maverick McNealy",71.2635990235312
"George McNeill",75.7657995893915
"Rocco Mediate",83.5796645171986
"John Merrick",68.0623748404213
"Troy Merritt",65.4636993691701
"Shaun Micheel",93.1937393575829
"Phil Mickelson",60.101450740071
"Keith Mitchell",70.0478223586344
"Larry Mize",88.4161062087508
"Bryce Molder",92.2333694947321
"Edoardo Molinari",113.374216552216
"Francesco Molinari",57.2380835122084
"Ryan Moore",58.2771232072736
"Collin Morikawa",34.5636445541067
"Alan Morin",112.581652583098
"James Morrison",109.024445301864
"Trey Mullinax",85.658144193637
"Grayson Murray",72.1403172550993
"Sebastián Muñoz",50.1662978578792
"Kevin Na",42.5066253895238
"Matthew NeSmith",45.9033406720476
"Joaquin Niemann",31.1985863271261
"Seung-Yul Noh",68.5436718070125
"Alex Noren",56.9913814607168
"Henrik Norlander",56.7569866656276
"Sean O'Hair",64.8756970095641
"Mark O'Meara",66.2216046150113
"Arron Oberholser",106.002016757308
"Koumei Oda",104.635344347993
"Joe Ogilvie",115.841191215563
"Geoff Ogilvy",84.6933266892259
